gene_id	gene_name	gene_type	gene_description	gene_version	seqnames	start	end	width	strand
ENSMUSG00000051951	Xkr4	protein_coding	X-linked Kx blood group related 4	5	chr1	3205901	3671498	465598	-
ENSMUSG00000089699	Gm1992	lncRNA	predicted gene 1992	1	chr1	3466587	3513553	46967	+
ENSMUSG00000102331	Gm19938	lncRNA	predicted gene, 19938	1	chr1	3647309	3658904	11596	-
ENSMUSG00000102343	Gm37381	lncRNA	predicted gene, 37381	1	chr1	3905739	3986215	80477	-
ENSMUSG00000025900	Rp1	protein_coding	retinitis pigmentosa 1 (human)	12	chr1	3999557	4409241	409685	-
ENSMUSG00000025902	Sox17	protein_coding	SRY (sex determining region Y)-box 17	13	chr1	4490931	4497354	6424	-
ENSMUSG00000104238	Gm37587	lncRNA	predicted gene, 37587	1	chr1	4496551	4499558	3008	+
ENSMUSG00000104328	Gm37323	lncRNA	predicted gene, 37323	1	chr1	4583129	4586252	3124	-
ENSMUSG00000033845	Mrpl15	protein_coding	mitochondrial ribosomal protein L15	13	chr1	4773206	4785739	12534	-
ENSMUSG00000025903	Lypla1	protein_coding	lysophospholipase 1	14	chr1	4807788	4848410	40623	+
ENSMUSG00000033813	Tcea1	protein_coding	transcription elongation factor A (SII) 1	15	chr1	4857814	4897909	40096	+
ENSMUSG00000002459	Rgs20	protein_coding	regulator of G-protein signaling 20	17	chr1	4909576	5070285	160710	-
ENSMUSG00000085623	Gm16041	lncRNA	predicted gene 16041	1	chr1	4970857	4976820	5964	+
ENSMUSG00000033793	Atp6v1h	protein_coding	ATPase, H+ transporting, lysosomal V1 subunit H	12	chr1	5070018	5162529	92512	+
ENSMUSG00000025905	Oprk1	protein_coding	opioid receptor, kappa 1	14	chr1	5588466	5606131	17666	+
ENSMUSG00000033774	Npbwr1	protein_coding	neuropeptides B/W receptor 1	4	chr1	5913707	5917398	3692	-
ENSMUSG00000025907	Rb1cc1	protein_coding	RB1-inducible coiled-coil 1	14	chr1	6206197	6276648	70452	+
ENSMUSG00000090031	4732440D04Rik	lncRNA	RIKEN cDNA 4732440D04 gene	2	chr1	6209866	6215293	5428	-
ENSMUSG00000087247	Alkal1	protein_coding	ALK and LTK ligand 1	3	chr1	6359218	6394731	35514	+
ENSMUSG00000033740	St18	protein_coding	suppression of tumorigenicity 18	17	chr1	6487231	6860940	373710	+
ENSMUSG00000051285	Pcmtd1	protein_coding	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	17	chr1	7088920	7173628	84709	+
ENSMUSG00000097797	Gm26901	lncRNA	predicted gene, 26901	6	chr1	7349406	7397869	48464	-
ENSMUSG00000103067	Gm30414	lncRNA	predicted gene, 30414	1	chr1	7497968	7518149	20182	+
ENSMUSG00000025909	Sntg1	protein_coding	syntrophin, gamma 1	16	chr1	8361475	9299878	938404	-
ENSMUSG00000061024	Rrs1	protein_coding	ribosome biogenesis regulator 1	8	chr1	9545408	9547455	2048	+
ENSMUSG00000025911	Adhfe1	protein_coding	alcohol dehydrogenase, iron containing, 1	14	chr1	9547948	9580673	32726	+
ENSMUSG00000079671	2610203C22Rik	lncRNA	RIKEN cDNA 2610203C22 gene	8	chr1	9560832	9631175	70344	-
ENSMUSG00000067879	Vxn	protein_coding	vexin	3	chr1	9601199	9627143	25945	+
ENSMUSG00000099827	Gm29520	lncRNA	predicted gene 29520	1	chr1	9639255	9640582	1328	-
ENSMUSG00000025912	Mybl1	protein_coding	myeloblastosis oncogene-like 1	16	chr1	9667415	9700209	32795	-
ENSMUSG00000045210	Vcpip1	protein_coding	valosin containing protein (p97)/p47 complex interacting protein 1	8	chr1	9718622	9748382	29761	-
ENSMUSG00000097893	1700034P13Rik	lncRNA	RIKEN cDNA 1700034P13 gene	8	chr1	9747648	9791924	44277	+
ENSMUSG00000025915	Sgk3	protein_coding	serum/glucocorticoid regulated kinase 3	14	chr1	9798107	9900845	102739	+
ENSMUSG00000046101	Mcmdc2	protein_coding	minichromosome maintenance domain containing 2	16	chr1	9908638	9942085	33448	+
ENSMUSG00000098234	Snhg6	lncRNA	small nucleolar RNA host gene 6	7	chr1	9941959	9944118	2160	-
ENSMUSG00000099032	Tcf24	protein_coding	transcription factor 24	2	chr1	9960163	9967932	7770	-
ENSMUSG00000025916	Ppp1r42	protein_coding	protein phosphatase 1, regulatory subunit 42	10	chr1	9968624	10009136	40513	-
ENSMUSG00000087199	Gm15818	lncRNA	predicted gene 15818	1	chr1	9982387	9992366	9980	+
ENSMUSG00000025917	Cops5	protein_coding	COP9 signalosome subunit 5	9	chr1	10024601	10038168	13568	-
ENSMUSG00000056763	Cspp1	protein_coding	centrosome and spindle pole associated protein 1	16	chr1	10037987	10136768	98782	+
ENSMUSG00000067851	Arfgef1	protein_coding	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	11	chr1	10137571	10232670	95100	-
ENSMUSG00000042501	Cpa6	protein_coding	carboxypeptidase A6	12	chr1	10324720	10719945	395226	-
ENSMUSG00000048960	Prex2	protein_coding	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	13	chr1	10993465	11303681	310217	+
ENSMUSG00000057715	A830018L16Rik	protein_coding	RIKEN cDNA A830018L16 gene	13	chr1	11414105	11975901	561797	+
ENSMUSG00000097171	Gm17644	lncRNA	predicted gene, 17644	1	chr1	12667563	12673090	5528	+
